;Org. nr (Standardfält);Företagsnamn;Kontoansvarig
357;5564690732;Eitech Electro AB;Emil Fransson
358;5564718301;Coca-Cola Europacific Partners Sverige AB;Emil Fransson
359;5564721164;Craftor AB;Emil Fransson
360;5564733102;Teknisk Fastighetsservice i Norrland Aktiebolag;Anton Fellbrink
361;5564770237;Sharp Business Systems Sverige AB;Emil Fransson
362;5564776853;Bilskadecenter i Örebro Aktiebolag;Peter Bengtsson
363;556478-6647;Sundsvall Energi AB;Anton Fellbrink
364;556479–1829;Avarn Security Systems AB;Filip Mbanza
365;556479–1829;Avarn Security Systems AB;Filip Mbanza
366;556479–1829;Avarn Security Systems AB;Filip Mbanza
367;556479–1829;Avarn Security Systems AB;Filip Mbanza
368;556479–1829;Avarn Security Systems AB;Filip Mbanza
369;556479–1829;Avarn Security Systems AB;Filip Mbanza
370;5564792058;SCA Graphic Holding Aktiebolag;Anton Fellbrink
371;5564798493;Kopparbergs Bryggeri Aktiebolag;Peter Bengtsson
372;5564815800;Haugen-Gruppen AB;Filip Mbanza
373;5564815800;Haugen-Gruppen AB;Filip Mbanza
374;5564824265;Maskincity i Motala Aktiebolag;Filip Mbanza
375;5564854676;Foran Sverige Aktiebolag;Filip Mbanza
376;5564873585;Cambio Healthcare Systems AB;Emil Fransson
377;5564884640;Svensk Plaståtervinning i Motala AB;Filip Mbanza
378;5564885720;Actil Warehouse Trucks AB;Filip Mbanza
379;5564892924;Svea Bank AB;Emil Fransson
380;5564928777;Specialkarosser Aktiebolag;Peter Bengtsson
381;5564930666;Strongpoint AB;Emil Fransson
382;5564937695;Karlskoga Automation Aktiebolag;Peter Bengtsson
383;5564972056;AGES Värnamo AB;Peter Bengtsson
384;5564989688;Swedfarm AB;Filip Mbanza
385;5565002762;Landshypotek Bank Aktiebolag - Linköping;Filip Mbanza
386;5565011227;San Sac AB;Filip Mbanza
387;5565049607;VallaCom AB;Filip Mbanza
388;556505–1413;Saferoad RRS Sverige AB;Emil Fransson
389;5565065819;HiQ Stockholm AB;Emil Fransson
390;556511-2991;Kesko AB;Anton Fellbrink
391;556511-2991;Kesko AB;Emil Fransson
392;5565112991;Kesko AB;Anton Fellbrink
393;5565112991;Kesko AB;Emil Fransson
394;5565141008;APP Start-Up Aktiebolag;Filip Mbanza
395;5565165114;Real Time Services Aktiebolag;Emil Fransson
396;5565165254;Orkla Confectionery & Snacks Sverige AB - Snacksfabriken i Filipstad;Peter Bengtsson
397;5565184057;Autotech Teknikinformation i Stockholm AB;Emil Fransson
398;5565184503;Barilla Sverige AB;Peter Bengtsson
399;5565205308;Comrod Mission Systems AB;Filip Mbanza
400;556525-4256;Origo Group Data Collection AB;Filip Mbanza
401;5565251583;Skadepoolen i Närke Aktiebolag;Peter Bengtsson
402;556526-8538;Thermotech Scandinavia AB;Anton Fellbrink
403;5565260592;Etteplan Sweden AB;Anton Fellbrink
404;5565260592;Etteplan Sweden AB;Emil Fransson
405;5565260592;Etteplan Sweden AB;Emil Fransson
406;5565260592;Etteplan Sweden AB;Filip Mbanza
407;5565260592;Etteplan Sweden AB;Filip Mbanza
408;5565261046;Shortlink AB - Linköpingskontoret;Filip Mbanza
409;556527-2001;AddSecure AB;Emil Fransson
410;5565272738;Storbildsfabriken i Sverige AB;Filip Mbanza
411;5565275418;Ropo Capital Sweden AB;Emil Fransson
412;5565277687;Tutus Data AB;Emil Fransson
413;5565286415;Entre Syd i Västerbotten AB;Emil Fransson
414;5565295911;Certego AB;Filip Mbanza
415;5565295911;Certego AB;Filip Mbanza
416;5565295911;Certego AB;Filip Mbanza
417;5565295911;Certego AB;Filip Mbanza
418;5565295911;Certego AB;Peter Bengtsson
419;5565295911;Certego AB;Peter Bengtsson
420;5565295911;Certego AB;Filip Mbanza
421;5565302022;Torsåsen Fågelprodukter AB;Peter Bengtsson
422;5565312583;Aircenter AB;Emil Fransson
423;5565316352;Inrego Aktiebolag;Emil Fransson
424;5565322145;Kongsberg Automotive AB;Peter Bengtsson
425;5565346631;Axians ICT AB;Filip Mbanza
426;5565346631;Axians ICT AB;Filip Mbanza
427;5565354726;Great Security Sverige AB;Peter Bengtsson
428;5565366944;Treasury Systems Sweden AB;Filip Mbanza
429;5565366944;Treasury Systems Sweden AB;Emil Fransson
430;5565385043;Textilia Tvätt & Textilservice AB;Peter Bengtsson
431;5565387288;Svartviks Svarvteknik Aktiebolag;Anton Fellbrink
432;5565387502;Ryds Bilglas AB;Emil Fransson
433;5565394375;S-G Lundins Elektriska Aktiebolag;Peter Bengtsson
434;5565395521;SE Däckservice AB;Anton Fellbrink
435;556540-3234;CTEK Sweden AB;Filip Mbanza
436;5565408514;Europress AB;Emil Fransson
437;5565409165;Picea Bygg AB;Anton Fellbrink
438;5565424297;Linde Material Handling AB;Peter Bengtsson
439;5565429841;SWECO AB (publ);Filip Mbanza
440;5565429841;SWECO AB (publ);Filip Mbanza
441;5565429841;SWECO AB (publ);Filip Mbanza
442;5565464525;Avalon Innovation Technology AB;Filip Mbanza
443;5565469300;Alltransport i Östergötland AB;Filip Mbanza
444;556547-0134;Momentum Industrial AB - Lkpg;Filip Mbanza
445;5565477360;Bilskadecenter i Enköping Aktiebolag;Peter Bengtsson
446;5565481867;AVL MTC Motortestcenter AB;Emil Fransson
447;5565484499;Softhouse Sydväst AB;Peter Bengtsson
448;5565487757;Klippan Safety AB;Peter Bengtsson
449;5565488243;Enghouse Networks (Sweden) AB;Emil Fransson
450;5565489696;Axess Logistics Sweden AB - Södertälje;Emil Fransson
451;556549-7020;Gamla Länsförsäkringar AB - Linköping;Filip Mbanza
452;556549-8952;Cygate AB - Nkpg;Filip Mbanza
453;5565497541;InfoCare Service AB;Anton Fellbrink
454;5565498952;Telia Cygate AB;Emil Fransson
455;5565500237;Meritor HVS AB;Peter Bengtsson
456;5565506226;Implema Aktiebolag;Peter Bengtsson
457;5565506309;Sokigo AB;Emil Fransson
